,second,categories
0,0,"['decor', 'ceiling', 'furniture']"
1,1,"['furniture', 'decor', 'windows']"
2,2,"['decor', 'walls', 'furniture']"
3,3,"['flooring', 'design', 'decor']"
4,4,"['design', 'flooring', 'decor']"
5,5,"['design', 'flooring', 'decor']"
6,6,"['design', 'flooring', 'decor']"
7,7,"['design', 'flooring', 'decor']"
8,8,"['design', 'flooring', 'decor']"
9,9,"['furniture', 'decor', 'flooring']"
10,10,"['flooring', 'furniture', 'decor']"
11,11,"['decor', 'design', 'furniture']"
12,12,"['decor', 'design', 'furniture']"
13,13,"['decor', 'design', 'flooring']"
14,14,"['furniture', 'flooring', 'decor']"
15,15,"['furniture', 'decor', 'design']"
16,16,"['decor', 'furniture', 'design']"
17,17,"['decor', 'design', 'furniture']"
18,18,"['decor', 'furniture', 'design']"
19,19,"['decor', 'design', 'furniture']"
20,20,"['decor', 'design', 'furniture']"
21,21,"['furniture', 'design', 'flooring']"
22,22,"['decor', 'design', 'furniture']"
23,23,"['decor', 'design', 'furniture']"
24,24,"['design', 'decor', 'furniture']"
25,25,"['decor', 'design', 'furniture']"
26,26,"['decor', 'furniture', 'design']"
27,27,"['furniture', 'decor', 'design']"
28,28,"['furniture', 'decor', 'flooring']"
29,29,"['design', 'flooring', 'furniture']"
30,30,"['design', 'flooring', 'walls']"
31,31,"['design', 'flooring', 'walls']"
32,32,"['flooring', 'furniture', 'decor']"
33,33,"['flooring', 'design', 'furniture']"
34,34,"['design', 'flooring', 'decor']"
35,35,"['design', 'flooring', 'decor']"
36,36,"['design', 'flooring', 'decor']"
37,37,"['design', 'flooring', 'decor']"
38,38,"['design', 'flooring', 'decor']"
39,39,"['flooring', 'decor', 'windows']"
40,40,"['furniture', 'decor', 'windows']"
41,41,"['flooring', 'design', 'decor']"
42,42,"['flooring', 'design', 'decor']"
43,43,"['flooring', 'design', 'decor']"
44,44,"['windows', 'furniture', 'flooring']"
45,45,"['furniture', 'walls', 'decor']"
46,46,"['furniture', 'decor', 'walls']"
47,47,"['flooring', 'design', 'decor']"
48,48,"['flooring', 'design', 'decor']"
49,49,"['flooring', 'design', 'decor']"
50,50,"['flooring', 'design', 'decor']"
51,51,"['flooring', 'design', 'decor']"
52,52,"['flooring', 'design', 'decor']"
53,53,"['flooring', 'design', 'decor']"
54,54,"['walls', 'windows', 'lighting']"
55,55,"['walls', 'decor', 'windows']"
56,56,"['walls', 'decor', 'design']"
57,57,"['flooring', 'decor', 'furniture']"
58,58,"['flooring', 'furniture', 'decor']"
59,59,"['furniture', 'flooring', 'decor']"
60,60,"['furniture', 'flooring', 'decor']"
61,61,"['furniture', 'flooring', 'decor']"
62,62,"['flooring', 'furniture', 'decor']"
63,63,"['walls', 'decor', 'furniture']"
64,64,"['decor', 'furniture', 'walls']"
65,65,"['flooring', 'furniture', 'decor']"
66,66,"['flooring', 'design', 'decor']"
67,67,"['flooring', 'design', 'decor']"
68,68,"['flooring', 'design', 'decor']"
69,69,"['flooring', 'design', 'decor']"
70,70,"['flooring', 'decor', 'design']"
71,71,"['flooring', 'decor', 'design']"
72,72,"['flooring', 'decor', 'design']"
73,73,"['windows', 'flooring', 'walls']"
74,74,"['windows', 'flooring', 'decor']"
75,75,"['windows', 'flooring', 'walls']"
76,76,"['windows', 'flooring', 'walls']"
77,77,"['windows', 'flooring', 'walls']"
78,78,"['windows', 'walls', 'flooring']"
79,79,"['windows', 'flooring', 'decor']"
80,80,"['furniture', 'walls', 'decor']"
81,81,"['decor', 'furniture', 'walls']"
82,82,"['decor', 'walls', 'furniture']"
83,83,"['decor', 'furniture', 'walls']"
84,84,"['furniture', 'decor', 'flooring']"
85,85,"['furniture', 'decor', 'windows']"
86,86,"['furniture', 'windows', 'design']"
87,87,"['walls', 'windows', 'furniture']"
88,88,"['windows', 'walls', 'furniture']"
89,89,"['furniture', 'decor', 'windows']"
90,90,"['flooring', 'design', 'decor']"
91,91,"['flooring', 'design', 'decor']"
92,92,"['flooring', 'design', 'decor']"
93,93,"['flooring', 'decor', 'design']"
94,94,"['flooring', 'design', 'decor']"
95,95,"['flooring', 'design', 'decor']"
96,96,"['flooring', 'design', 'decor']"
97,97,"['flooring', 'design', 'decor']"
98,98,"['flooring', 'design', 'decor']"
99,99,"['flooring', 'design', 'decor']"
100,100,"['flooring', 'design', 'decor']"
101,101,"['flooring', 'design', 'decor']"
102,102,"['furniture', 'flooring', 'walls']"
103,103,"['furniture', 'walls', 'windows']"
104,104,"['furniture', 'walls', 'flooring']"
105,105,"['walls', 'windows', 'furniture']"
106,106,"['walls', 'furniture', 'decor']"
107,107,"['walls', 'furniture', 'windows']"
108,108,"['flooring', 'furniture', 'decor']"
109,109,"['flooring', 'furniture', 'decor']"
110,110,"['flooring', 'furniture', 'decor']"
111,111,"['flooring', 'design', 'decor']"
112,112,"['flooring', 'furniture', 'design']"
113,113,"['flooring', 'design', 'decor']"
114,114,"['flooring', 'design', 'decor']"
115,115,"['flooring', 'design', 'decor']"
116,116,"['furniture', 'decor', 'flooring']"
117,117,"['furniture', 'decor', 'flooring']"
118,118,"['furniture', 'design', 'decor']"
119,119,"['furniture', 'design', 'flooring']"
120,120,"['furniture', 'decor', 'design']"
121,121,"['furniture', 'decor', 'design']"
122,122,"['furniture', 'design', 'decor']"
123,123,"['furniture', 'design', 'decor']"
124,124,"['furniture', 'design', 'decor']"
125,125,"['furniture', 'decor', 'design']"
126,126,"['furniture', 'decor', 'windows']"
127,127,"['furniture', 'decor', 'windows']"
128,128,"['furniture', 'decor', 'windows']"
129,129,"['furniture', 'decor', 'flooring']"
130,130,"['furniture', 'decor', 'windows']"
131,131,"['furniture', 'decor', 'windows']"
132,132,"['flooring', 'design', 'decor']"
133,133,"['flooring', 'design', 'decor']"
134,134,"['flooring', 'design', 'decor']"
135,135,"['flooring', 'design', 'decor']"
136,136,"['flooring', 'design', 'decor']"
137,137,"['flooring', 'design', 'decor']"
138,138,"['furniture', 'decor', 'flooring']"
139,139,"['furniture', 'decor', 'walls']"
140,140,"['furniture', 'decor', 'flooring']"
141,141,"['furniture', 'decor', 'walls']"
142,142,"['walls', 'furniture', 'ceiling']"
143,143,"['ceiling', 'lighting', 'flooring']"
144,144,"['ceiling', 'flooring', 'lighting']"
145,145,"['furniture', 'flooring', 'decor']"
146,146,"['flooring', 'furniture', 'decor']"
147,147,"['flooring', 'furniture', 'decor']"
148,148,"['furniture', 'flooring', 'decor']"
149,149,"['furniture', 'flooring', 'windows']"
150,150,"['furniture', 'decor', 'flooring']"
151,151,"['furniture', 'flooring', 'decor']"
152,152,"['flooring', 'furniture', 'decor']"
153,153,"['furniture', 'flooring', 'decor']"
154,154,"['furniture', 'decor', 'flooring']"
155,155,"['design', 'decor', 'windows']"
156,156,"['windows', 'design', 'decor']"
157,157,"['design', 'decor', 'windows']"
158,158,"['design', 'decor', 'windows']"
159,159,"['flooring', 'windows', 'furniture']"
160,160,"['furniture', 'decor', 'flooring']"
161,161,"['furniture', 'windows', 'flooring']"
162,162,"['windows', 'furniture', 'walls']"
163,163,"['windows', 'walls', 'design']"
164,164,"['decor', 'furniture', 'walls']"
165,165,"['furniture', 'decor', 'windows']"
166,166,"['decor', 'furniture', 'walls']"
167,167,"['furniture', 'flooring', 'windows']"
168,168,"['furniture', 'flooring', 'windows']"
169,169,"['decor', 'design', 'flooring']"
170,170,"['windows', 'decor', 'flooring']"
171,171,"['windows', 'decor', 'design']"
172,172,"['windows', 'decor', 'design']"
173,173,"['windows', 'decor', 'design']"
174,174,"['flooring', 'furniture', 'decor']"
175,175,"['furniture', 'decor', 'flooring']"
