second,categories,transcript,machine learning,computer graphics,web development,algebra,calculus,statistics,economics,marketing,commerce,kinematics,electromagnetism,thermodynamics,geology,cartography,meteorology,genetics,biochemistry,ecology
0,"['marketing', 'economics', 'kinematics']","Let’s say I had an apple, and you had an orange, and I wanted an orange, and you wanted",0.15868867933750153,0.1364622712135315,0.1325616091489792,0.023200804367661476,0.08950556814670563,0.16005556285381317,0.4906986355781555,0.49283820390701294,0.07577067613601685,0.30018168687820435,0.0945148766040802,0.09979677200317383,0.02472260408103466,0.27521631121635437,0.046206966042518616,0.14378634095191956,0.2145645022392273,0.2509448826313019
5,"['marketing', 'ecology', 'cartography']","Let’s say I had an apple, and you had an orange, and I wanted an orange, and you wanted an apple. We could trade, and both of us would end up happier than when we started.  But now let’s say I had an apple tree, and you had an orange tree, and the apples from",0.4705542325973511,0.38644248247146606,0.25798627734184265,0.13195183873176575,0.23110370337963104,0.1967180222272873,0.44048142433166504,0.6564246416091919,0.2514895498752594,0.30462121963500977,0.2300197333097458,0.14959995448589325,0.22857056558132172,0.5406355857849121,0.16681060194969177,0.37811708450317383,0.31927019357681274,0.6081700325012207
10,"['marketing', 'ecology', 'economics']","an apple. We could trade, and both of us would end up happier than when we started.  But now let’s say I had an apple tree, and you had an orange tree, and the apples from the apple tree were ready, but the oranges wouldn’t ripen for another month.",0.4575920104980469,0.4435884356498718,0.24922579526901245,0.09577899426221848,0.1812133640050888,0.3417562246322632,0.5503439903259277,0.6710079312324524,0.3554007411003113,0.42300546169281006,0.22557440400123596,0.19610275328159332,0.26497694849967957,0.5101411938667297,0.11600867658853531,0.4242534637451172,0.265999972820282,0.6432811617851257
15,"['economics', 'ecology', 'marketing']","the apple tree were ready, but the oranges wouldn’t ripen for another month. I could give you an apple now, and you could promise to give me an orange in a month, when",0.5337364077568054,0.3729904890060425,0.25911346077919006,0.19077740609645844,0.39048150181770325,0.5590702891349792,0.6597501635551453,0.642501175403595,0.31134283542633057,0.4129329323768616,0.30099332332611084,0.36203160881996155,0.36511877179145813,0.5048030614852905,0.14742888510227203,0.5437520742416382,0.43574583530426025,0.6516004800796509
20,"['marketing', 'economics', 'thermodynamics']","I could give you an apple now, and you could promise to give me an orange in a month, when they’re ready, and both of us would end up happier than when we started.",0.2687467038631439,0.23926633596420288,0.16379614174365997,0.0579061321914196,0.24641472101211548,0.2772887945175171,0.5251061916351318,0.583134114742279,0.14362114667892456,0.3252452313899994,0.22750672698020935,0.4245957136154175,0.14229623973369598,0.2864491045475006,0.07442069053649902,0.2659592926502228,0.3373584747314453,0.4074617326259613
25,"['marketing', 'ecology', 'economics']","they’re ready, and both of us would end up happier than when we started. Although, maybe you didn’t want an apple. Maybe you wanted a pear.",0.29448238015174866,0.1949789822101593,0.236495241522789,0.059878550469875336,0.12845264375209808,0.26319268345832825,0.32163065671920776,0.46442341804504395,0.0864647850394249,0.20842745900154114,0.13127779960632324,0.1436701864004135,0.17534522712230682,0.30137163400650024,0.0816953256726265,0.1851288378238678,0.18960101902484894,0.3414079248905182
30,"['marketing', 'economics', 'computer graphics']","Although, maybe you didn’t want an apple. Maybe you wanted a pear. But all I had to give was my apple, and I still wanted your orange. Well, maybe there was a third guy, a pear-laden guy, and he wanted an apple.",0.3158870339393616,0.3455214500427246,0.32018616795539856,0.10568804293870926,0.2808516025543213,0.142487034201622,0.3785916566848755,0.5621500611305237,0.04987971857190132,0.34420520067214966,0.257015585899353,0.12146008014678955,0.21979230642318726,0.2970077097415924,0.09424274414777756,0.22445139288902283,0.218997985124588,0.25513437390327454
35,"['cartography', 'machine learning', 'computer graphics']","But all I had to give was my apple, and I still wanted your orange. Well, maybe there was a third guy, a pear-laden guy, and he wanted an apple. So I give him my apple, he gives you his pear, and you promise to give me your orange in",0.46346515417099,0.4611206352710724,0.37264445424079895,0.11798974126577377,0.2377457320690155,0.17086298763751984,0.36111047863960266,0.44368481636047363,0.046226728707551956,0.2991333603858948,0.299144983291626,0.13898134231567383,0.15893001854419708,0.49921494722366333,0.1801425963640213,0.27738794684410095,0.2674444615840912,0.27197620272636414
40,"['ecology', 'marketing', 'thermodynamics']","So I give him my apple, he gives you his pear, and you promise to give me your orange in a month, and we all end up happier than when we started.",0.20682328939437866,0.3686041533946991,0.31237083673477173,0.06405669450759888,0.30897167325019836,0.3245502710342407,0.4957368075847626,0.5303698182106018,0.10585775971412659,0.39056476950645447,0.2395971715450287,0.5292487740516663,0.11896853893995285,0.4432724416255951,0.08643140643835068,0.3435714840888977,0.26226484775543213,0.5440281629562378
45,"['marketing', 'statistics', 'cartography']","a month, and we all end up happier than when we started. But then maybe we start to trade bigger quantities and maybe we add more people with different",0.22810284793376923,0.37541428208351135,0.20113980770111084,0.17199695110321045,0.2480122298002243,0.5095344185829163,0.36873573064804077,0.5237727165222168,0.2754491865634918,0.25683674216270447,0.20878314971923828,0.2737841010093689,0.16800329089164734,0.43760064244270325,0.09447605162858963,0.2554454505443573,0.22296780347824097,0.3313045799732208
