second,categories,transcript,machine learning,computer graphics,web development,algebra,calculus,statistics,economics,marketing,commerce,kinematics,electromagnetism,thermodynamics,geology,cartography,meteorology,genetics,biochemistry,ecology
0,"['machine learning', 'genetics', 'ecology']","Here we tackle backpropagation,",0.7702410817146301,0.422197163105011,0.04706797003746033,0.2368716597557068,0.14198003709316254,0.24450241029262543,0.15452918410301208,0.28844958543777466,0.03987188637256622,0.16152551770210266,0.05301901325583458,0.35918572545051575,0.5252534747123718,0.056475359946489334,0.30223894119262695,0.6324256658554077,0.35289525985717773,0.5730103850364685
5,"['machine learning', 'computer graphics', 'marketing']","Here we tackle backpropagation, the core algorithm behind how neural networks learn. After a quick recap for where we are,",0.6276428699493408,0.055564071983098984,0.019603148102760315,0.014419390819966793,0.01048541534692049,0.016701320186257362,0.003791137132793665,0.05128633603453636,0.01683240942656994,0.01686735637485981,0.005305471830070019,0.0014286631485447288,0.0036471751518547535,0.011623133905231953,0.002886082511395216,0.0032976511865854263,0.004071858245879412,0.008148830384016037
10,"['machine learning', 'marketing', 'kinematics']","the core algorithm behind how neural networks learn. After a quick recap for where we are, the first thing I'll do is an intuitive walkthrough for what the algorithm is actually doing",0.7949467301368713,0.028672125190496445,0.01932530663907528,0.027429096400737762,0.005167721305042505,0.005443057511001825,0.008519629016518593,0.061334580183029175,0.018219254910945892,0.05283987149596214,0.004282352514564991,0.0007130002486519516,0.006526934448629618,0.012417977675795555,0.0010680662235245109,0.0011906498111784458,0.0017332967836409807,0.01386977732181549
15,"['machine learning', 'marketing', 'algebra']","the first thing I'll do is an intuitive walkthrough for what the algorithm is actually doing without any reference to the formulas, Then for those of you who do want to dive into the math,",0.5200564861297607,0.07450553774833679,0.0868055671453476,0.19437412917613983,0.11619474738836288,0.014097599312663078,0.03149021044373512,0.23167206346988678,0.04736349359154701,0.12580077350139618,0.11018980294466019,0.06437412649393082,0.03384092450141907,0.012711751274764538,0.014984405599534512,0.0017121400451287627,0.02465740218758583,0.02104911021888256
20,"['calculus', 'algebra', 'marketing']","without any reference to the formulas, Then for those of you who do want to dive into the math, the next video goes into the calculus underlying all this. If you watched the last two videos",0.10509316623210907,0.026585573330521584,0.03620277717709541,0.30125492811203003,0.47686150670051575,0.0033304684329777956,0.04852462559938431,0.14156395196914673,0.010615823790431023,0.03706308454275131,0.046326156705617905,0.013736053369939327,0.012988908216357231,0.0054444982670247555,0.008528760634362698,0.00245278631336987,0.026628246530890465,0.010523485019803047
25,"['machine learning', 'calculus', 'algebra']","the next video goes into the calculus underlying all this. If you watched the last two videos or if you're just jumping in with the appropriate background, you know what a neural network is and how it feeds forward information.",0.754097580909729,0.06183118373155594,0.15655428171157837,0.5292578339576721,0.6417307257652283,0.01583201065659523,0.17984867095947266,0.2943021059036255,0.020630966871976852,0.306912362575531,0.04071444272994995,0.008163249120116234,0.005752032157033682,0.018452614545822144,0.005883924197405577,0.018873505294322968,0.020125309005379677,0.039980508387088776
30,"['machine learning', 'marketing', 'kinematics']","or if you're just jumping in with the appropriate background, you know what a neural network is and how it feeds forward information. Here we're doing the classic example of recognizing handwritten digits,",0.738837480545044,0.06650829315185547,0.09191355109214783,0.030051667243242264,0.020310895517468452,0.08405351638793945,0.043473925441503525,0.20847852528095245,0.022455384954810143,0.1467253863811493,0.017083628103137016,0.009066103957593441,0.01557986531406641,0.017117192968726158,0.020058603957295418,0.01316893845796585,0.02995302714407444,0.08153793215751648
35,"['machine learning', 'marketing', 'electromagnetism']","Here we're doing the classic example of recognizing handwritten digits, whose pixel values get fed into the first layer of the network with 784 neurons. And I've been showing a network with two hidden layers having just 16 neurons each,",0.33497390151023865,0.028781801462173462,0.014918993227183819,0.01790330372750759,0.012449845671653748,0.015292849391698837,0.006566557101905346,0.0712936669588089,0.00046440778532996774,0.03450382128357887,0.05647410824894905,0.0042016347870230675,0.0029006453696638346,0.010507497936487198,0.004445282742381096,0.020728006958961487,0.0041771866381168365,0.008295504376292229
40,"['machine learning', 'computer graphics', 'web development']","whose pixel values get fed into the first layer of the network with 784 neurons. And I've been showing a network with two hidden layers having just 16 neurons each, and an output layer of 10 neurons, indicating which digit the network is choosing as its answer.",0.7243691086769104,0.5902155041694641,0.2767624855041504,0.07156596332788467,0.08241405338048935,0.07093865424394608,0.08053150027990341,0.18274833261966705,0.008043358102440834,0.13788114488124847,0.16734200716018677,0.013572449795901775,0.03702529892325401,0.07904153317213058,0.023458588868379593,0.057492051273584366,0.032370708882808685,0.06505177170038223
45,"['machine learning', 'statistics', 'kinematics']","and an output layer of 10 neurons, indicating which digit the network is choosing as its answer.",0.690759003162384,0.3367306590080261,0.2256384789943695,0.17056545615196228,0.2227490097284317,0.41187694668769836,0.1701204478740692,0.27350980043411255,0.08898869901895523,0.36888939142227173,0.1415882408618927,0.04123768210411072,0.12710526585578918,0.16211307048797607,0.019640518352389336,0.025302637368440628,0.09017256647348404,0.14704179763793945
