start,duration,text
0.51,4.83,"Let’s say I had an apple, and you had an orange, and I wanted an orange, and you wanted"
5.34,1.099,"an apple."
6.439,3.501,"We could trade, and both of us would end up happier than when we started. "
9.94,4.65,"But now let’s say I had an apple tree, and you had an orange tree, and the apples from"
14.59,3.48,"the apple tree were ready, but the oranges wouldn’t ripen for another month."
18.07,4.76,"I could give you an apple now, and you could promise to give me an orange in a month, when"
22.83,3.539,"they’re ready, and both of us would end up happier than when we started."
26.369,3.151,"Although, maybe you didn’t want an apple."
29.52,1.44,"Maybe you wanted a pear."
30.96,3.489,"But all I had to give was my apple, and I still wanted your orange."
34.449,4.401,"Well, maybe there was a third guy, a pear-laden guy, and he wanted an apple."
38.85,4.91,"So I give him my apple, he gives you his pear, and you promise to give me your orange in"
43.76,2.95,"a month, and we all end up happier than when we started."
46.71,4.239,"But then maybe we start to trade bigger quantities and maybe we add more people with different"
50.949,3.401,"fruits on different harvest schedules and maybe we decide that certain popular fruits"
54.35,3.119,"are worth more and two of one equals one of the other and one of the other equals three"
57.469,4.3,"of the third and… it all starts to get just a little bit complicated."
61.769,4.961,"So, we simplify: instead of trading physical fruit for physical fruit, we trade physical"
66.73,4.91,"fruit for fruit credits—clay balls with a generic fruit symbol carved into them."
71.64,4.76,"If I trade an apple into the system, I get a credit, and when I want that orange, I trade"
76.4,3.85,"the credit in—nobody has to keep track of what I’m owed."
80.25,3.55,"Now that we have this system going, we might as well add vegetables into the mix—sure,"
83.8,4.67,"it’s not fruit, but we want veggies sometimes, and the veggie farmers want fruit too, so"
88.47,2.13,"the system still works."
90.6,4.76,"Naturally, as the system develops and develops with more and more items and more and more"
95.36,3.93,"complexity, we start to feel that these fruit credits have value, even though they merely"
99.29,2.01,"represent theoretical value."
101.3,5.29,"But that theoretical value can be turned into real value, and so in a way, the clay balls,"
106.59,4.64,"the representation of theoretical value that translates into real value, hold real value"
111.23,1.48,"in and of themselves."
112.71,4.17,"So, someone starts a business where they’ll keep your fruit credits safe for you, free"
116.88,1.0,"of charge."
117.88,2.93,"Better yet, they’ll pay you to keep your credits safe."
120.81,5.43,"It sounds like a scam, and maybe it is, but you take the risk and deposit a thousand credits."
126.24,5.09,"Elsewhere, in order to grow more watermelons this year, and therefore earn more fruit credits,"
131.33,4.42,"a watermelon farmer needs more credits than she has to exchange for an irrigation system."
135.75,4.7,"So, this new credit storage business offers to give her 7,500 credits if she promises"
140.45,1.939,"to give 9,000 back in a year."
142.389,3.891,"This seems like a safe bet since she’s already a successful watermelon farmer, and it’s"
146.28,3.299,"worth it for her since she’ll get the new irrigation system, and worth it to this new"
149.579,4.321,"fruit credit safeguarding business since they’ll get more credits, and everyone ends up happier"
153.9,1.3,"than when they started."
155.2,4.879,"Meanwhile, you’re told you can take your credits out at any time, and you can, even"
160.079,2.701,"if they only kept 250 of them on hand."
162.78,3.86,"That’s because there are nine more farmers that deposited their thousand credits too,"
166.64,4.209,"and even if the safe-guarding business only kept a quarter of them, a quarter of all deposits"
170.849,3.79,"is much more than your 1,000, and the chances of everyone wanting all their credits at the"
174.639,1.791,"same time is negligibly low. "
176.43,6.44,"So, this is a free money machine—you make money, the bank makes money, and the watermelon"
182.87,1.83,"farmer makes money."
184.7,1.619,"Everyone makes money."
186.319,3.46,"But, wait… everyone makes money?"
189.779,5.511,"You, the bank, and the watermelon farmer end up with more money than when you started so…"
195.29,1.789,"where did it come from?"
197.079,4.011,"If we turn this into a closed loop, where no money enters or exits the system, we can"
201.09,1.53,"track down the source."
202.62,5.86,"So, ten people with 10,000 credits each deposit 1,000, meaning the bank now has 10,000."
208.48,5.159,"The bank lends those 7,500 out to the watermelon farmer, meaning it now holds 2,500."
213.639,4.871,"She pays that 7,500 to one of the ten depositors for an irrigation system they’re selling."
218.51,3.839,"One growing season later, the farmer has 9,000 watermelons that she brings to the market,"
222.349,4.021,"and sells 900 of them to each of the same group of ten that put their money into the"
226.37,1.0,"bank."
227.37,3.869,"They now each have 9,100 credits—1,000 of which sit in the bank."
231.239,4.771,"Meanwhile, the farmer has 9,000 which she gives to the bank, meaning it now holds 11,500"
236.01,1.0,"credits."
237.01,6.66,"So, the farmer has nothing, the ten individuals have 98,500 total, and the bank has 11,500,"
243.67,6.969,"meaning there are now 110,000 credits in the system—once again, money has appeared out"
250.639,1.64,"of thin air."
252.279,5.381,"So, its source: in the very first step, ten thousand-credit deposits go into the bank,"
257.66,5.79,"but the ten individuals still each have 10,000—it’s just that 1,000 of it’s in the bank."
263.45,4.21,"That’s not the bank’s money, so the 10,000 sitting in their vault isn’t theirs, which"
267.66,2.35,"means the money is created exactly…"
270.01,1.16,"now."
271.17,3.99,"The moment that loan goes out, new money has appeared."
275.16,4.87,"The original depositors still have their 100,000 credits, because with the way the fractional-reserve"
280.03,5.59,"banking system works, they can all, on an individual level, withdraw their 10,000."
285.62,6.67,"But simultaneously, the watermelon farmer has 7,500 very real credits."
