start,duration,text
1.26,5.16,"it is January 16 2023 and you're"
4.259,4.38,"watching the code report Tailwind is the"
6.42,4.08,"worst way to do CSS except for all the"
8.639,3.901,"other ways that have been tried an epic"
10.5,4.259,"war erupted yesterday after somebody had"
12.54,4.14,"the audacity to post a Tailwind snippet"
14.759,4.081,"on Twitter the Allied Tailwind Alliance"
16.68,3.72,"defended this code while the unified CSS"
18.84,3.359,"fundamentalists said horrible"
20.4,4.139,"dehumanizing things about it like it's"
22.199,4.021,"not even real CSS as a result many"
24.539,3.541,"insecure nerds suffered slightly hurt"
26.22,3.719,"feelings from hearing mild criticisms"
28.08,3.539,"about technology choices that their"
29.939,3.601,"clients will never care about it was"
31.619,3.421,"truly horrific I decided to run a poll"
33.54,3.06,"to see where you guys fall and although"
35.04,3.24,"most have never tried it 4 out of five"
36.6,3.42,"people that have tried Tailwind love it"
38.28,3.24,"still though it has its trade-offs and"
40.02,3.3,"may not be a good fit for every project"
41.52,3.42,"in this video I want to explain the"
43.32,3.0,"problems Tailwind solves because it's"
44.94,2.88,"obvious that many people don't even"
46.32,3.18,"understand them yet still have no"
47.82,3.3,"problem hating on a free and open source"
49.5,3.239,"tool publicly I personally joined the"
51.12,3.119,"Tailwind Colt a couple years ago after"
52.739,3.181,"refusing to drink the Kool-Aid for quite"
54.239,3.541,"a while in my experience it's a tool"
55.92,3.18,"like typescript or svelte that makes it"
57.78,3.18,"really hard to go back to the thing you"
59.1,3.599,"were using before because it saves a ton"
60.96,3.48,"of time time and becoming a productive"
62.699,3.78,"developer is all about using your time"
64.44,3.84,"wisely the first problem with CSS is"
66.479,3.601,"co-location the standard practice for"
68.28,3.96,"the last 20 years has been to separate"
70.08,3.96,"your CSS from the markup to provide a"
72.24,3.419,"good separation of concerns and doing"
74.04,2.939,"otherwise means you go to hell as"
75.659,2.941,"programmers we know the hardest part of"
76.979,3.301,"the job is naming things and this"
78.6,3.6,"practice requires you to come up with a"
80.28,3.3,"lot of arbitrary names that are often"
82.2,3.18,"pointless a few weeks later when you"
