frame,categories,machine learning,computer graphics,web development,algebra,calculus,statistics,economics,marketing,commerce,kinematics,electromagnetism,thermodynamics,geology,cartography,meteorology,genetics,biochemistry,ecology
0,"['computer graphics', 'algebra', 'electromagnetism']",0.014165718,0.30469057,0.04751073,0.11499708,0.044637308,0.023143796,0.01440442,0.0060838317,0.07068743,0.0560218,0.08934756,0.05137291,0.007123432,0.014427379,0.04844955,0.007722287,0.05139261,0.033821557
1,"['computer graphics', 'web development', 'cartography']",0.01974136,0.43035308,0.11313186,0.030300772,0.06788931,0.01653503,0.00431491,0.0029750185,0.023253553,0.08085601,0.03181489,0.03390556,0.005669257,0.10206644,0.013944516,0.0035709552,0.0027289998,0.016948503
2,"['machine learning', 'web development', 'computer graphics']",0.34049493,0.18324198,0.21751893,0.012973736,0.0064630047,0.0037522549,0.004773472,0.004816364,0.027465975,0.052324764,0.010439096,0.06605379,0.0015170372,0.056015734,0.0034176533,0.0034132623,0.0016875295,0.0036305794
3,"['machine learning', 'web development', 'computer graphics']",0.39952907,0.14497389,0.23809011,0.009865446,0.0063178726,0.007280862,0.015101857,0.009027384,0.037124798,0.02788597,0.00532664,0.049267713,0.00091833854,0.032139927,0.0050243335,0.0066574807,0.0013760255,0.004092311
4,"['machine learning', 'computer graphics', 'thermodynamics']",0.4259773,0.1668202,0.098122604,0.012582999,0.008405106,0.0062944135,0.013971854,0.006666396,0.029715993,0.028752713,0.0058976794,0.1357732,0.00144439,0.034912433,0.0103699565,0.0048498465,0.0032484834,0.0061945585
5,"['machine learning', 'computer graphics', 'web development']",0.60569763,0.11323235,0.08706517,0.0072016986,0.003538057,0.004310538,0.009407864,0.006061651,0.018980933,0.017977713,0.003986976,0.07251668,0.00091356784,0.02631073,0.00945927,0.005521986,0.0020500931,0.005767015
6,"['machine learning', 'computer graphics', 'web development']",0.580393,0.11489662,0.10978055,0.0076253465,0.0038076353,0.0043130526,0.009391545,0.007661355,0.029567271,0.023420263,0.0066447454,0.054578826,0.0007925155,0.026718376,0.008557903,0.0036403532,0.0027247935,0.005485997
7,"['machine learning', 'computer graphics', 'web development']",0.36399692,0.20172723,0.1341102,0.013659827,0.0076444405,0.0092297,0.0110800555,0.0041061984,0.035357445,0.07525727,0.008214594,0.06317517,0.001042979,0.051685352,0.005891952,0.0065841777,0.0019475122,0.0052890424
8,"['web development', 'computer graphics', 'machine learning']",0.1529111,0.15472156,0.42400315,0.014171337,0.008632728,0.01701881,0.016704986,0.010643337,0.044910148,0.049062647,0.0048090084,0.026529985,0.00097317254,0.056078453,0.00427413,0.006847427,0.0018112102,0.005896865
9,"['machine learning', 'web development', 'computer graphics']",0.39797103,0.13695215,0.21167107,0.007473373,0.004040689,0.013243377,0.005892606,0.0071630278,0.031075155,0.0852385,0.003616597,0.030215625,0.0010018438,0.033232942,0.006560388,0.006507572,0.0036679488,0.014476117
