frame,categories,machine learning,computer graphics,web development,algebra,calculus,statistics,economics,marketing,commerce,kinematics,electromagnetism,thermodynamics,geology,cartography,meteorology,genetics,biochemistry,ecology
0,"['computer graphics', 'algebra', 'electromagnetism']",0.014165718,0.30469057,0.04751073,0.11499708,0.044637308,0.023143796,0.01440442,0.0060838317,0.07068743,0.0560218,0.08934756,0.05137291,0.007123432,0.014427379,0.04844955,0.007722287,0.05139261,0.033821557
1,"['electromagnetism', 'thermodynamics', 'calculus']",0.01872701,0.061013106,0.011481025,0.03939069,0.09173664,0.017986624,0.0050355494,0.00196464,0.009832931,0.05024011,0.42019102,0.18591246,0.0051126927,0.017362984,0.0084276525,0.016021086,0.014445493,0.02511827
2,"['web development', 'marketing', 'biochemistry']",0.024134412,0.093693316,0.43758348,0.025595963,0.033324458,0.017044896,0.0027911991,0.15188012,0.0024122156,0.0008077907,0.017635807,0.0040400866,0.0023780677,0.012591969,0.009788285,0.006025869,0.14009903,0.01817305
3,"['web development', 'biochemistry', 'marketing']",0.02772915,0.09234055,0.41852742,0.038002018,0.04120527,0.029303914,0.004602673,0.118019335,0.003308681,0.00082048506,0.034604862,0.0058034724,0.0033913136,0.014924271,0.012243049,0.007662615,0.125572,0.02193891
4,"['web development', 'biochemistry', 'marketing']",0.027836278,0.09575316,0.4250644,0.037392844,0.04056633,0.028266547,0.0045123463,0.114615306,0.003269389,0.0008066708,0.033960767,0.0057193376,0.0032797942,0.014718769,0.012044151,0.0073797484,0.123374216,0.021439878
5,"['machine learning', 'kinematics', 'computer graphics']",0.6351099,0.07796203,0.0017976853,0.039415523,0.022989951,0.049433146,0.0013734835,0.000114711285,0.00069433165,0.11328836,0.031015707,0.015629327,0.00013779882,0.0013342202,0.0008376245,0.004373363,0.0033591911,0.0011336411
6,"['machine learning', 'kinematics', 'computer graphics']",0.64843726,0.08153802,0.0021003806,0.05006462,0.023220878,0.030498767,0.001415181,0.0001224421,0.000904114,0.105120495,0.0347074,0.013457732,9.3717885e-05,0.0011389727,0.0009896434,0.0031033622,0.0019541923,0.0011327636
7,"['machine learning', 'kinematics', 'computer graphics']",0.7037344,0.08259685,0.0018753876,0.023682142,0.014464349,0.014780413,0.00066112657,0.000105943895,0.00082238833,0.09044573,0.045813728,0.014342564,5.901076e-05,0.0011824584,0.0006836616,0.002140502,0.0015618666,0.0010474002
8,"['machine learning', 'kinematics', 'computer graphics']",0.528253,0.099091806,0.0010361039,0.082242645,0.039657682,0.02827846,0.0020862357,0.00010103392,0.0010429542,0.14261736,0.036637373,0.02820036,7.907527e-05,0.0018629908,0.00086755515,0.004471333,0.0022225957,0.0012513971
9,"['machine learning', 'kinematics', 'computer graphics']",0.5888036,0.0773926,0.0006353641,0.05172419,0.033202887,0.028162643,0.0017144886,9.6684984e-05,0.00052504917,0.12144485,0.057013936,0.027543386,0.00010573658,0.0008583925,0.00078814256,0.0041143587,0.0050173723,0.0008563042
