text,topics
"Let’s say I had an apple, and you had an orange, and I wanted an orange, and you wanted",2
an apple.,2
"We could trade, and both of us would end up happier than when we started.",0
"But now let’s say I had an apple tree, and you had an orange tree, and the apples from",2
"the apple tree were ready, but the oranges wouldn’t ripen for another month.",2
"I could give you an apple now, and you could promise to give me an orange in a month, when",2
"they’re ready, and both of us would end up happier than when we started.",2
"Although, maybe you didn’t want an apple.",1
Maybe you wanted a pear.,1
"But all I had to give was my apple, and I still wanted your orange.",2
"Well, maybe there was a third guy, a pear-laden guy, and he wanted an apple.",2
"So I give him my apple, he gives you his pear, and you promise to give me your orange in",2
"a month, and we all end up happier than when we started.",2
But then maybe we start to trade bigger quantities and maybe we add more people with different,0
fruits on different harvest schedules and maybe we decide that certain popular fruits,1
are worth more and two of one equals one of the other and one of the other equals three,2
of the third and… it all starts to get just a little bit complicated.,2
"So, we simplify: instead of trading physical fruit for physical fruit, we trade physical",0
fruit for fruit credits—clay balls with a generic fruit symbol carved into them.,2
"If I trade an apple into the system, I get a credit, and when I want that orange, I trade",0
the credit in—nobody has to keep track of what I’m owed.,0
"Now that we have this system going, we might as well add vegetables into the mix—sure,",1
"it’s not fruit, but we want veggies sometimes, and the veggie farmers want fruit too, so",1
the system still works.,0
"Naturally, as the system develops and develops with more and more items and more and more",1
"complexity, we start to feel that these fruit credits have value, even though they merely",1
represent theoretical value.,0
"But that theoretical value can be turned into real value, and so in a way, the clay balls,",0
"the representation of theoretical value that translates into real value, hold real value",0
in and of themselves.,0
"So, someone starts a business where they’ll keep your fruit credits safe for you, free",0
of charge.,2
"Better yet, they’ll pay you to keep your credits safe.",2
"It sounds like a scam, and maybe it is, but you take the risk and deposit a thousand credits.",0
"Elsewhere, in order to grow more watermelons this year, and therefore earn more fruit credits,",0
a watermelon farmer needs more credits than she has to exchange for an irrigation system.,0
"So, this new credit storage business offers to give her 7,500 credits if she promises",0
"to give 9,000 back in a year.",0
"This seems like a safe bet since she’s already a successful watermelon farmer, and it’s",2
"worth it for her since she’ll get the new irrigation system, and worth it to this new",2
"fruit credit safeguarding business since they’ll get more credits, and everyone ends up happier",0
than when they started.,2
"Meanwhile, you’re told you can take your credits out at any time, and you can, even",0
if they only kept 250 of them on hand.,2
"That’s because there are nine more farmers that deposited their thousand credits too,",0
"and even if the safe-guarding business only kept a quarter of them, a quarter of all deposits",0
"is much more than your 1,000, and the chances of everyone wanting all their credits at the",0
same time is negligibly low.,0
"So, this is a free money machine—you make money, the bank makes money, and the watermelon",0
farmer makes money.,0
Everyone makes money.,0
"But, wait… everyone makes money?",0
"You, the bank, and the watermelon farmer end up with more money than when you started so…",0
where did it come from?,0
"If we turn this into a closed loop, where no money enters or exits the system, we can",1
track down the source.,2
"So, ten people with 10,000 credits each deposit 1,000, meaning the bank now has 10,000.",0
"The bank lends those 7,500 out to the watermelon farmer, meaning it now holds 2,500.",0
"She pays that 7,500 to one of the ten depositors for an irrigation system they’re selling.",2
"One growing season later, the farmer has 9,000 watermelons that she brings to the market,",2
and sells 900 of them to each of the same group of ten that put their money into the,0
bank.,0
"They now each have 9,100 credits—1,000 of which sit in the bank.",0
"Meanwhile, the farmer has 9,000 which she gives to the bank, meaning it now holds 11,500",0
credits.,0
"So, the farmer has nothing, the ten individuals have 98,500 total, and the bank has 11,500,",0
"meaning there are now 110,000 credits in the system—once again, money has appeared out",0
of thin air.,0
"So, its source: in the very first step, ten thousand-credit deposits go into the bank,",0
"but the ten individuals still each have 10,000—it’s just that 1,000 of it’s in the bank.",0
"That’s not the bank’s money, so the 10,000 sitting in their vault isn’t theirs, which",0
means the money is created exactly…,0
now.,0
