text,topics
"Let’s say I had an apple, and you had an orange, and I wanted an orange, and you wanted",9
an apple.,8
"We could trade, and both of us would end up happier than when we started.",0
"But now let’s say I had an apple tree, and you had an orange tree, and the apples from",8
"the apple tree were ready, but the oranges wouldn’t ripen for another month.",9
"I could give you an apple now, and you could promise to give me an orange in a month, when",8
"they’re ready, and both of us would end up happier than when we started.",2
"Although, maybe you didn’t want an apple.",8
Maybe you wanted a pear.,7
"But all I had to give was my apple, and I still wanted your orange.",9
"Well, maybe there was a third guy, a pear-laden guy, and he wanted an apple.",8
"So I give him my apple, he gives you his pear, and you promise to give me your orange in",8
"a month, and we all end up happier than when we started.",2
But then maybe we start to trade bigger quantities and maybe we add more people with different,0
fruits on different harvest schedules and maybe we decide that certain popular fruits,2
are worth more and two of one equals one of the other and one of the other equals three,0
of the third and… it all starts to get just a little bit complicated.,0
"So, we simplify: instead of trading physical fruit for physical fruit, we trade physical",4
fruit for fruit credits—clay balls with a generic fruit symbol carved into them.,9
"If I trade an apple into the system, I get a credit, and when I want that orange, I trade",8
the credit in—nobody has to keep track of what I’m owed.,6
"Now that we have this system going, we might as well add vegetables into the mix—sure,",2
"it’s not fruit, but we want veggies sometimes, and the veggie farmers want fruit too, so",0
the system still works.,0
"Naturally, as the system develops and develops with more and more items and more and more",3
"complexity, we start to feel that these fruit credits have value, even though they merely",0
represent theoretical value.,3
"But that theoretical value can be turned into real value, and so in a way, the clay balls,",9
"the representation of theoretical value that translates into real value, hold real value",0
in and of themselves.,0
"So, someone starts a business where they’ll keep your fruit credits safe for you, free",0
of charge.,0
"Better yet, they’ll pay you to keep your credits safe.",8
"It sounds like a scam, and maybe it is, but you take the risk and deposit a thousand credits.",8
"Elsewhere, in order to grow more watermelons this year, and therefore earn more fruit credits,",3
a watermelon farmer needs more credits than she has to exchange for an irrigation system.,3
"So, this new credit storage business offers to give her 7,500 credits if she promises",8
"to give 9,000 back in a year.",0
"This seems like a safe bet since she’s already a successful watermelon farmer, and it’s",3
"worth it for her since she’ll get the new irrigation system, and worth it to this new",1
"fruit credit safeguarding business since they’ll get more credits, and everyone ends up happier",0
than when they started.,9
"Meanwhile, you’re told you can take your credits out at any time, and you can, even",8
if they only kept 250 of them on hand.,7
"That’s because there are nine more farmers that deposited their thousand credits too,",8
"and even if the safe-guarding business only kept a quarter of them, a quarter of all deposits",8
"is much more than your 1,000, and the chances of everyone wanting all their credits at the",8
same time is negligibly low.,7
"So, this is a free money machine—you make money, the bank makes money, and the watermelon",8
farmer makes money.,7
Everyone makes money.,8
"But, wait… everyone makes money?",1
"You, the bank, and the watermelon farmer end up with more money than when you started so…",3
where did it come from?,0
"If we turn this into a closed loop, where no money enters or exits the system, we can",3
track down the source.,0
"So, ten people with 10,000 credits each deposit 1,000, meaning the bank now has 10,000.",8
"The bank lends those 7,500 out to the watermelon farmer, meaning it now holds 2,500.",3
"She pays that 7,500 to one of the ten depositors for an irrigation system they’re selling.",1
"One growing season later, the farmer has 9,000 watermelons that she brings to the market,",3
and sells 900 of them to each of the same group of ten that put their money into the,1
bank.,8
"They now each have 9,100 credits—1,000 of which sit in the bank.",8
"Meanwhile, the farmer has 9,000 which she gives to the bank, meaning it now holds 11,500",3
credits.,8
"So, the farmer has nothing, the ten individuals have 98,500 total, and the bank has 11,500,",3
"meaning there are now 110,000 credits in the system—once again, money has appeared out",8
of thin air.,0
"So, its source: in the very first step, ten thousand-credit deposits go into the bank,",8
"but the ten individuals still each have 10,000—it’s just that 1,000 of it’s in the bank.",8
"That’s not the bank’s money, so the 10,000 sitting in their vault isn’t theirs, which",4
means the money is created exactly…,8
now.,0
"The moment that loan goes out, new money has appeared.",8
"The original depositors still have their 100,000 credits, because with the way the fractional-reserve",8
"banking system works, they can all, on an individual level, withdraw their 10,000.",8
"But simultaneously, the watermelon farmer has 7,500 very real credits.",3
"If you have a roommate that you agree to share your blender with, only one blender physically",1
exists.,0
"But two blender’s worth of value is being extracted from it, because you’re both using",8
"it just as much as you’d use your own, dedicated blender.",3
"That’s essentially what’s happening with money, except that with money, we track the",1
"per-person value, rather than per-blender value.",0
"Now, it’d be easy to argue that we can’t consider the bank to have created 10,000 credits—and",8
"that’s fair, because the system wouldn’t work if it lent 10,000, because it couldn’t",8
give the original depositors their money back.,8
"But it does work when they give away 7,500—a 25% reserve ratio is very typical in a fractional-reserve",0
"banking system—so we can at least say 7,500 was created.",8
"You could still argue that that 7,500 isn’t actually money since it’s eventually owed",6
"back to the depositors—except that, if you trust and engage in the global financial system,",1
that’s not what you believe.,0
"When you receive a loan, you can take out that money in cash, and when you deposit money",8
"in a bank account, you can take out that money in cash—it is very real money representing",8
very real value.,0
This is exactly why answering the question of how much money exists is so tough—there,0
are at least six different commonly-accepted definitions incorporating different combinations,9
"of currency, demand deposits, traveler’s checks, time deposits, and more—and this",9
means of money creation is one of the primary activities that central banks like the Federal,8
"Reserve, Bank of England, or Bank of Japan seek to administer and regulate.",4
"They’re in charge of telling banks how much money they have to keep in reserves, which",8
throttles how much money appears out of thin air through banks’ lending process.,8
"Of course, the aspect to take note of is the fact that money is created when it moves—money",0
is never created while it’s sitting still.,9
"So, back in 1867, when moving money was tough and banks were rudimentary, physical currency",6
still pretty well correlated to the total supply of money—most dollars were represented,6
by a physical bill or coin.,2
"But since then, well, things have changed.",2
"Abstraction helps money move—adding paper stand-ins for precious, rare minerals speeds",7
up the transportation of funds and transactions.,8
Abstraction helps money grow too—as a bank’s ability to loan money provides its customers,8
the assets to then create value.,5
"Abstraction, however, doesn’t alone move money from one bank to the next, one town",1
"to the next, one state to the next, or one country to the next like it does today—that",6
required standardization.,8
Before the Civil War there were thousands of different types of paper money backed by,0
all sorts of private and public institutions in the US.,0
"Say, for example, a watchmaker from Waltham, Massachusetts in 1857 went into their bank",8
to withdraw this $20 bill to buy some machinery down in Brookline.,7
"This isn’t the $20 bill anyone today is used to, this is a Waltham Bank $20 bill,",3
redeemable in gold at only the Waltham bank but of uncertain value to anyone outside of,0
the Waltham bank.,3
"Now, while the watchmaker’s not taking on the risk or inconvenience of carrying $20",6
"Waltham dollars worth of gold, there’s also no guarantee that the merchant in Brookline",8
will take the note from a bank so far out of their way.,3
"Perhaps, because of the distance, they’ll tack on a fee for the inconvenience of cashing",5
the note and say the machinery is now $23 Waltham dollars.,7
"Or, perhaps the watchmaker gets lucky and they are only one of the many business relations",0
"the Brookline merchant keeps in the Waltham area, then maybe the merchant will accept",7
the Waltham dollars knowing they’ll be able to use the bill in the future.,8
"Regardless of the fate of the Waltham watchmaker, what their predicament underscores is that",0
"money, when in many different forms from many different places, was hard to move, hard to",0
"transact with, and hard to transfer outside of one’s immediate community.",0
All this changed with the National Currency Acts of the 1860s.,6
"Out went thousands of separately backed private banknotes, in came nationally chartered banks,",0
and so began a new era of money moving with a new means with which to do it: the modern,0
check.,3
"Under the new rules, all nationally chartered banks had to carry about 25% of their liabilities",8
"in reserves—in other words, of all the money they were good for, a quarter of that needed",4
to be held in gold in the basement.,4
"Crucially though, the smaller banks, or country banks, could hold these reserves in the central",8
"reserve cities, or the few big banks.",4
"Effectively, the two banks were now connected—someone could now take a check from their local bank,",3
"head into the city and buy supplies, and that check could then be settled at the larger,",4
correspondent bank without any gold having to move outside the vault.,4
"And not only were these two banks connected, countless small banks were now all linked",3
together through that correspondent bank functioning as a hub.,8
This simple connection had major consequences—it allowed a customer to move money regionally,8
"without the hassle of navigating a maze of domestic exchange rates, thus stimulating",0
