processed_text,topics
let’s say i had an apple and you had an orange and i wanted an orange and you wanted,1
an apple,1
we could trade and both of us would end up happier than when we started,1
but now let’s say i had an apple tree and you had an orange tree and the apples from,1
the apple tree were ready but the oranges wouldn’t ripen for another month,1
i could give you an apple now and you could promise to give me an orange in a month when,1
they’re ready and both of us would end up happier than when we started,1
although maybe you didn’t want an apple,1
maybe you wanted a pear,1
but all i had to give was my apple and i still wanted your orange,1
well maybe there was a third guy a pear-laden guy and he wanted an apple,1
so i give him my apple he gives you his pear and you promise to give me your orange in,1
a month and we all end up happier than when we started,1
but then maybe we start to trade bigger quantities and maybe we add more people with different,2
fruits on different harvest schedules and maybe we decide that certain popular fruits,2
are worth more and two of one equals one of the other and one of the other equals three,1
of the third and… it all starts to get just a little bit complicated,1
so we simplify: instead of trading physical fruit for physical fruit we trade physical,1
fruit for fruit credits—clay balls with a generic fruit symbol carved into them,0
if i trade an apple into the system i get a credit and when i want that orange i trade,1
the credit in—nobody has to keep track of what i’m owed,2
now that we have this system going we might as well add vegetables into the mix—sure,2
it’s not fruit but we want veggies sometimes and the veggie farmers want fruit too so,0
the system still works,1
naturally as the system develops and develops with more and more items and more and more,0
complexity we start to feel that these fruit credits have value even though they merely,0
represent theoretical value,0
but that theoretical value can be turned into real value and so in a way the clay balls,0
the representation of theoretical value that translates into real value hold real value,0
in and of themselves,0
so someone starts a business where they’ll keep your fruit credits safe for you free,1
of charge,0
better yet they’ll pay you to keep your credits safe,1
it sounds like a scam and maybe it is but you take the risk and deposit a thousand credits,1
elsewhere in order to grow more watermelons this year and therefore earn more fruit credits,1
a watermelon farmer needs more credits than she has to exchange for an irrigation system,2
so this new credit storage business offers to give her 7500 credits if she promises,1
to give 9000 back in a year,1
this seems like a safe bet since she’s already a successful watermelon farmer and it’s,2
worth it for her since she’ll get the new irrigation system and worth it to this new,1
fruit credit safeguarding business since they’ll get more credits and everyone ends up happier,1
than when they started,1
meanwhile you’re told you can take your credits out at any time and you can even,2
if they only kept 250 of them on hand,0
that’s because there are nine more farmers that deposited their thousand credits too,2
and even if the safe-guarding business only kept a quarter of them a quarter of all deposits,2
is much more than your 1000 and the chances of everyone wanting all their credits at the,2
same time is negligibly low,2
so this is a free money machine—you make money the bank makes money and the watermelon,2
farmer makes money,2
everyone makes money,2
but wait… everyone makes money,2
you the bank and the watermelon farmer end up with more money than when you started so…,2
where did it come from,0
if we turn this into a closed loop where no money enters or exits the system we can,0
track down the source,0
so ten people with 10000 credits each deposit 1000 meaning the bank now has 10000,1
the bank lends those 7500 out to the watermelon farmer meaning it now holds 2500,2
she pays that 7500 to one of the ten depositors for an irrigation system they’re selling,2
one growing season later the farmer has 9000 watermelons that she brings to the market,2
and sells 900 of them to each of the same group of ten that put their money into the,0
bank,2
they now each have 9100 credits—1000 of which sit in the bank,2
meanwhile the farmer has 9000 which she gives to the bank meaning it now holds 11500,2
credits,1
so the farmer has nothing the ten individuals have 98500 total and the bank has 11500,2
meaning there are now 110000 credits in the system—once again money has appeared out,1
of thin air,0
so its source: in the very first step ten thousand-credit deposits go into the bank,2
but the ten individuals still each have 10000—it’s just that 1000 of it’s in the bank,1
that’s not the bank’s money so the 10000 sitting in their vault isn’t theirs which,1
means the money is created exactly…,0
now,0
the moment that loan goes out new money has appeared,1
the original depositors still have their 100000 credits because with the way the fractional-reserve,1
banking system works they can all on an individual level withdraw their 10000,1
but simultaneously the watermelon farmer has 7500 very real credits,2
if you have a roommate that you agree to share your blender with only one blender physically,0
exists,1
but two blender’s worth of value is being extracted from it because you’re both using,0
it just as much as you’d use your own dedicated blender,0
that’s essentially what’s happening with money except that with money we track the,0
per-person value rather than per-blender value,0
now it’d be easy to argue that we can’t consider the bank to have created 10000 credits—and,1
that’s fair because the system wouldn’t work if it lent 10000 because it couldn’t,1
give the original depositors their money back,0
but it does work when they give away 7500—a 25% reserve ratio is very typical in a fractional-reserve,1
banking system—so we can at least say 7500 was created,1
you could still argue that that 7500 isn’t actually money since it’s eventually owed,2
back to the depositors—except that if you trust and engage in the global financial system,2
that’s not what you believe,0
when you receive a loan you can take out that money in cash and when you deposit money,0
in a bank account you can take out that money in cash—it is very real money representing,0
very real value,0
this is exactly why answering the question of how much money exists is so tough—there,0
are at least six different commonly-accepted definitions incorporating different combinations,2
of currency demand deposits traveler’s checks time deposits and more—and this,2
means of money creation is one of the primary activities that central banks like the federal,0
reserve bank of england or bank of japan seek to administer and regulate,1
they’re in charge of telling banks how much money they have to keep in reserves which,0
throttles how much money appears out of thin air through banks’ lending process,0
of course the aspect to take note of is the fact that money is created when it moves—money,0
is never created while it’s sitting still,1
so back in 1867 when moving money was tough and banks were rudimentary physical currency,2
still pretty well correlated to the total supply of money—most dollars were represented,2
by a physical bill or coin,1
but since then well things have changed,1
abstraction helps money move—adding paper stand-ins for precious rare minerals speeds,0
up the transportation of funds and transactions,1
abstraction helps money grow too—as a bank’s ability to loan money provides its customers,0
the assets to then create value,0
abstraction however doesn’t alone move money from one bank to the next one town,0
to the next one state to the next or one country to the next like it does today—that,0
required standardization,2
before the civil war there were thousands of different types of paper money backed by,2
all sorts of private and public institutions in the us,2
say for example a watchmaker from waltham massachusetts in 1857 went into their bank,1
to withdraw this $20 bill to buy some machinery down in brookline,1
this isn’t the $20 bill anyone today is used to this is a waltham bank $20 bill,1
redeemable in gold at only the waltham bank but of uncertain value to anyone outside of,2
the waltham bank,1
now while the watchmaker’s not taking on the risk or inconvenience of carrying $20,1
waltham dollars worth of gold there’s also no guarantee that the merchant in brookline,1
will take the note from a bank so far out of their way,1
perhaps because of the distance they’ll tack on a fee for the inconvenience of cashing,1
the note and say the machinery is now $23 waltham dollars,1
or perhaps the watchmaker gets lucky and they are only one of the many business relations,1
the brookline merchant keeps in the waltham area then maybe the merchant will accept,1
the waltham dollars knowing they’ll be able to use the bill in the future,1
regardless of the fate of the waltham watchmaker what their predicament underscores is that,1
money when in many different forms from many different places was hard to move hard to,2
transact with and hard to transfer outside of one’s immediate community,2
all this changed with the national currency acts of the 1860s,1
out went thousands of separately backed private banknotes in came nationally chartered banks,2
and so began a new era of money moving with a new means with which to do it: the modern,2
check,2
under the new rules all nationally chartered banks had to carry about 25% of their liabilities,2
in reserves—in other words of all the money they were good for a quarter of that needed,0
to be held in gold in the basement,2
crucially though the smaller banks or country banks could hold these reserves in the central,0
reserve cities or the few big banks,0
effectively the two banks were now connected—someone could now take a check from their local bank,2
head into the city and buy supplies and that check could then be settled at the larger,2
correspondent bank without any gold having to move outside the vault,2
and not only were these two banks connected countless small banks were now all linked,2
together through that correspondent bank functioning as a hub,1
this simple connection had major consequences—it allowed a customer to move money regionally,0
without the hassle of navigating a maze of domestic exchange rates thus stimulating,1
growth and without the slow and risky necessity of moving actual coins or cash from bank to,2
bank making the process quicker,0
in this environment armed with a waltham check rather than waltham dollars our watchmaker,1
could pay for their supplies the merchant could deposit the check at their brookline,1
